Node ID,Level,Source(s),Confidence
mabadi_al_tahlil_al_nahwi,1,استقراء تنظيمي من: ألفية ابن مالك؛ الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,LOW
alkalam_wa_alkalima,2,ألفية ابن مالك؛ الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
taarif_alkalam,3,ألفية ابن مالك؛ الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
taarif_alkalim_wa_alkalima,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
alqawl_wa_nisbatuhu_ila_alkalam,3,شرح ابن عقيل,MEDIUM
aqsam_alkalima,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
alamat_alism,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
alamat_alfil,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
taarif_alharf,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه,HIGH
alirab_wa_albina,2,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
taarif_alirab,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
aqsam_alirab_alarbaa,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alirab_allafzi_wa_altaqdiri,3,شرح ابن عقيل؛ النحو الوافي,HIGH
alirab_almahalli,3,النحو الوافي,MEDIUM
taarif_albina,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
almuarab_wa_almabni_min_alasma,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
bina_alafal,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل؛ النحو الوافي,HIGH
bina_alhuruf,3,قطر الندى وبل الصدى / شرحه؛ شرح ابن عقيل,HIGH
alalamat_alasliyya,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alalamat_alfariyya,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
hamalat_alalamat_alirabiyya,2,استقراء تنظيمي من: الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,LOW
alirab_bialharakat,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alirab_bialhuruf,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
alasma_alsitta,3,الآجرومية؛ قطر الندى وبل الصدى / شرحه؛ النحو الوافي,HIGH
